Rep1,Rep2,ClusterPairs
1.1106208757345792,0.963360725778736,"Rep1: CHEESE, VARIOUS TYPES, Rep2: WINE"
1.1267479842533195,0.9735211632743537,"Rep1: MILK and MILK PRODUCTS, Rep2: WINE"
1.069511927456979,0.9216676777806402,"Rep1: MILK and MILK PRODUCTS, Rep2: CHEESE, VARIOUS TYPES"
1.1122985556965228,0.9610134000297688,"Rep1: TEA, Rep2: WINE"
1.143454253037092,0.9670807212482329,"Rep1: TEA, Rep2: CHEESE, VARIOUS TYPES"
1.1179059845442212,0.9638685012944209,"Rep1: TEA, Rep2: MILK and MILK PRODUCTS"
1.121190249523935,0.9854673512072804,"Rep1: FISH, Rep2: WINE"
1.1015219920833847,0.9576606784606279,"Rep1: FISH, Rep2: CHEESE, VARIOUS TYPES"
1.1038331282087004,0.9532425839439823,"Rep1: FISH, Rep2: MILK and MILK PRODUCTS"
1.1366236317440286,0.9730305075148465,"Rep1: FISH, Rep2: TEA"
1.1045606858113552,0.9955804451236117,"Rep1: RED ALGAE, Rep2: WINE"
1.1604047542741303,0.970882830565768,"Rep1: RED ALGAE, Rep2: CHEESE, VARIOUS TYPES"
1.161456557780289,0.9940223884037634,"Rep1: RED ALGAE, Rep2: MILK and MILK PRODUCTS"
1.1115999857454026,0.9888587926590947,"Rep1: RED ALGAE, Rep2: TEA"
1.1190646252793706,0.989153594312021,"Rep1: RED ALGAE, Rep2: FISH"
1.1258032945762317,0.9745378646076384,"Rep1: CITRUS FRUITS, Rep2: WINE"
1.1463304883074035,0.9781988444790093,"Rep1: CITRUS FRUITS, Rep2: CHEESE, VARIOUS TYPES"
1.1219892492227295,0.9739158395849311,"Rep1: CITRUS FRUITS, Rep2: MILK and MILK PRODUCTS"
1.0783496501720904,0.9509091254285952,"Rep1: CITRUS FRUITS, Rep2: TEA"
1.1248781692555012,0.9807719169415178,"Rep1: CITRUS FRUITS, Rep2: FISH"
1.1329748799469783,0.9970889884643733,"Rep1: CITRUS FRUITS, Rep2: RED ALGAE"
1.1295796064852508,0.9686216550237632,"Rep1: HONEY, Rep2: WINE"
1.1484211834428935,0.9502237896671568,"Rep1: HONEY, Rep2: CHEESE, VARIOUS TYPES"
1.109143101799164,0.9531440040665934,"Rep1: HONEY, Rep2: MILK and MILK PRODUCTS"
1.0935440184129432,0.9550539356912162,"Rep1: HONEY, Rep2: TEA"
1.1329319575469414,0.9715360720689993,"Rep1: HONEY, Rep2: FISH"
1.1050909307763412,0.9844724413141905,"Rep1: HONEY, Rep2: RED ALGAE"
1.06069505946187,0.9732628682895673,"Rep1: HONEY, Rep2: CITRUS FRUITS"
