Rep1,Rep2,ClusterPairs
1.0929356879701084,0.9872048084369998,"Rep1: WINE, Rep2: BEER"
1.1849655038731202,0.992417918242478,"Rep1: BAIJIU (CHINESE LIQUOR), Rep2: BEER"
1.153217904556253,0.9340531181522448,"Rep1: BAIJIU (CHINESE LIQUOR), Rep2: WINE"
1.1140274270527366,0.9798567234709313,"Rep1: GRAPE BRANDY, Rep2: BEER"
1.0781706713161987,0.9172713716524209,"Rep1: GRAPE BRANDY, Rep2: WINE"
1.1167556160161691,0.9011270268322951,"Rep1: GRAPE BRANDY, Rep2: BAIJIU (CHINESE LIQUOR)"
1.081612526581537,0.9875393934612215,"Rep1: WHISKY, Rep2: BEER"
1.0686433925644854,0.9226355026343072,"Rep1: WHISKY, Rep2: WINE"
1.1540070528523885,0.8609318900556372,"Rep1: WHISKY, Rep2: BAIJIU (CHINESE LIQUOR)"
1.0453603816494748,0.8319858677037688,"Rep1: WHISKY, Rep2: GRAPE BRANDY"
1.1316311743080043,0.9912759247306295,"Rep1: CHEESE, VARIOUS TYPES, Rep2: BEER"
1.1106208757345792,0.963360725778736,"Rep1: CHEESE, VARIOUS TYPES, Rep2: WINE"
1.1547493178538497,0.9344690902221717,"Rep1: CHEESE, VARIOUS TYPES, Rep2: BAIJIU (CHINESE LIQUOR)"
1.1320757075414674,0.9282742114262054,"Rep1: CHEESE, VARIOUS TYPES, Rep2: GRAPE BRANDY"
1.128923314337945,0.905114648253826,"Rep1: CHEESE, VARIOUS TYPES, Rep2: WHISKY"
1.141386703965414,0.9559808950227814,"Rep1: MILK and MILK PRODUCTS, Rep2: BEER"
1.1267479842533195,0.9735211632743537,"Rep1: MILK and MILK PRODUCTS, Rep2: WINE"
1.1603909568889388,0.9339362900829389,"Rep1: MILK and MILK PRODUCTS, Rep2: BAIJIU (CHINESE LIQUOR)"
1.1385983158086006,0.9546511231093918,"Rep1: MILK and MILK PRODUCTS, Rep2: GRAPE BRANDY"
1.1089138988075644,0.9370114380471862,"Rep1: MILK and MILK PRODUCTS, Rep2: WHISKY"
1.069511927456979,0.9216676777806402,"Rep1: MILK and MILK PRODUCTS, Rep2: CHEESE, VARIOUS TYPES"
1.1305972531165593,0.9873600982089573,"Rep1: COCOA category, Rep2: BEER"
1.1248167155206756,0.9535407690113333,"Rep1: COCOA category, Rep2: WINE"
